Question,Response
Tell me about your work experience.,"
I am a highly skilled and experienced computer scientist with a strong focus on AI and software development. My resume highlights my technical skills, including programming languages like Python, Java, and JavaScript, as well as my experience with various AWS services. I have a proven track record of successfully leading projects and developing innovative solutions in both academic and professional settings.

In my role as a Generative AI Product Developer at the Burnes Center for Social Change, I led the end-to-end development of an AI knowledge base and an AI Chatbot for the Executive Office of Economic Development (EOED). My work streamlined access to grants and programs for small businesses in Massachusetts and reduced employee response times significantly. I also spearheaded the development of a GenAI Sandbox for the Executive Office of Technology Services and Security (EOTSS), demonstrating my ability to lead and innovate in the field of AI.

My experience also includes a role as a Software Technical Program Manager at Amazon Robotics, where I orchestrated the deployment automation of new robotic arms and led a team to increase software updates deployment. My technical skills and leadership abilities are evident in my achievements, such as creating a tool for real-time analysis of robotic arm collisions and assisting in the operation of robotic workcells.

Overall, my work experience showcases my expertise in AI, software engineering, and product management. My ability to lead projects, develop innovative solutions, and communicate effectively with stakeholders makes me a valuable asset in the field of computer science."
Explain how you would manage competing priorities.,"I would establish clear objectives and prioritize tasks based on the goals of the company as well as goals of the customer
This would involve laying out any dependencies on a project and creating a clear timeline, and then communicating cross functionally with teams to inform the teams of the priorities. 
For example, as TPM of the ROC team, I constantly had competing priorities of various bugs/implementation requests from various teams. In this scenario, I first evaluated how crucial the bugs were to the overall system health. Then I would evaluate which of the tasks most closely aligned with program goals/specifications and rank the tasks to be put into sprints accordingly. I believe it is also crucial to acknowledge dependencies and resource constraint and plan ahead accordingly, as well as be flexible for the future as unexpected challenges constantly arise and one ust be prepared. "
Describe your experience at Burnes Center for Social Change.,"Led the development of an AI knowledge base for the Executive Office of Economic Development, streamlining access to 50+ state grants/programs. Developed an AI chatbot using AWS Bedrock and RAG, reducing response times from 2-14 days to 1-5 minutes."
Describe your experience at Subjectivity Lab.,"Developed an audio experiment using Python and VR to monitor pupil activity in real-time. Created a Python script leveraging ElevenLabs API to streamline text-to-speech generation, improving efficiency by 3x."
Describe your experience at Amazon Robotics.,"Managed deployment automation for 16 new robotic arms, increasing production speed by 8x. Led a team to enhance software updates deployment by 2x and established a scrum process from scratch."
What extracurricular activities are you involved in?,"I am the Director of Product at Code4Community, overseeing the development of 7+ products, mentoring new product managers, and ensuring strategic alignment of projects. I help oversee the development of software products for nonprofits and organizations in the Boston area, directly helping make an impact on the community. Some of the clients include the City of Boston, Lucy's Lovebus, New England First Ammendment Coalition, "
Where can we find more about you?,"GitHub: https://github.com/khushi4243
LinkedIn: https://www.linkedin.com/in/khushi-patel-04b85b1b1/"
favorite food,"My favorite food is Dosa, I'm vegeterian and my favorite cuisines are indian, thai, and mexican"
favorite color,"pink, gold"
favorite trip,"loved hawaii, beautiful nature and beaches. LOVE any place with a beach"
sports I do,I'm part of a south asian dance team called Junoon at my school. I'm a black belt in karate and a red belt in taekwondo. I also am currently learning to surf
